symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
VICR,Vicor Corporation,NMS,Technology,Electronic Components,332.95,330.48,-3.3938,31.6549,0.5258,0.2020,7.1390,0.1559,111.2727,0.310252,0.166505,123,0.319326,0.367791,0.040854,0.304610,0.123085,0.500000,0.500000,0.988275
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,16.63,15.88,0.1893,-11.7287,1.2714,0.1060,1.4530,0.9108,132.3333,0.308654,0.163619,124,0.388099,0.152756,0.244330,0.275685,0.036565,0.500000,0.500000,0.970054
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,31.55,29.77,1.2930,9.3280,1.0027,0.1070,-0.1840,22.7900,67.6591,0.305658,0.158210,125,0.409284,0.257125,0.171001,0.275987,0.011656,0.500000,0.500000,0.494740
UBER,"Uber Technologies, Inc.",NYQ,Technology,Software - Application,71.62,71.69,1.0857,-3.0299,1.0036,0.1450,-0.8520,5.8100,17.7891,0.305214,0.157407,126,0.405305,0.195872,0.171247,0.287436,0.001491,0.500000,0.500000,0.871443
ROP,"Roper Technologies, Inc.",NMS,Technology,Software - Application,336.5,331.7,3.7373,-6.6239,0.6182,0.1130,0.5370,1.3800,20.7054,0.304349,0.155845,127,0.456199,0.178058,0.066070,0.277795,0.022627,0.500000,0.500000,0.968478
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,26.35,25.07,0.4407,-14.7569,1.0894,0.2190,1.2500,0.2300,37.4179,0.304301,0.155758,128,0.392925,0.137746,0.194662,0.309732,0.033476,0.500000,0.500000,0.992421
SWKS,"Skyworks Solutions, Inc.",NMS,Technology,Semiconductors,79.12,80.66,-0.9213,18.1712,0.8285,-0.0100,-0.4820,1.7100,33.6083,0.303798,0.154850,129,0.366783,0.300958,0.123462,0.240735,0.007121,0.500000,0.500000,0.960224
WEX,WEX Inc.,NYQ,Technology,Software - Infrastructure,148.35,145.87,1.0320,-5.3898,0.9600,0.0580,0.0870,0.8400,16.4268,0.302595,0.152678,130,0.404274,0.184175,0.159348,0.261223,0.015779,0.500000,0.500000,0.980669
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.99,7.48,-6.6167,7.3171,0.9060,0.0020,,,,0.302593,0.152674,131,0.257467,0.247158,0.144612,0.244351,0.500000,0.500000,0.500000,0.500000
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.44,12.21,-1.2935,-1.2136,0.8474,0.2160,6.0260,2.9400,17.9559,0.302577,0.152645,132,0.359639,0.204875,0.128619,0.308828,0.106149,0.500000,0.500000,0.934443
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.51,9.09,2.7119,5.4524,0.6749,0.0550,-0.2190,,15.4068,0.302097,0.151777,133,0.436518,0.237916,0.081544,0.260319,0.011123,0.500000,0.500000,0.748825
PCTY,Paylocity Holding Corporation,NMS,Technology,Software - Application,117.84,112.82,1.7496,3.4761,0.6027,0.1050,0.2160,0.8900,24.1068,0.301580,0.150845,134,0.418047,0.228120,0.061840,0.275384,0.017742,0.500000,0.500000,0.978971
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,36.61,35.11,3.7530,-4.5665,0.7759,-0.0960,-0.6160,4.2100,18.9784,0.301554,0.150797,135,0.456500,0.188256,0.109107,0.214824,0.005082,0.500000,0.500000,0.906479
XNET,Xunlei Limited,NMS,Technology,Software - Infrastructure,5.41,4.98,-16.0202,-20.0642,1.9080,0.5390,,2.5800,0.3686,0.301372,0.150468,136,0.076978,0.111440,0.418061,0.406146,0.500000,0.500000,0.500000,0.943721
TXN,Texas Instruments Incorporated,NMS,Technology,Semiconductors,308.12,308.59,-2.3295,10.4197,0.9040,0.1860,0.3100,1.4700,52.6604,0.300810,0.149453,137,0.339754,0.262536,0.144066,0.299789,0.019173,0.500000,0.500000,0.964005
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,17.35,16.3,-9.5450,4.4872,1.1187,0.2080,,,,0.300486,0.148868,138,0.201262,0.233131,0.202658,0.306418,0.500000,0.500000,0.500000,0.500000
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,15.29,14.17,-7.8074,-1.1165,0.8370,0.1940,,0.7700,,0.299791,0.147613,139,0.234613,0.205356,0.125781,0.302199,0.500000,0.500000,0.500000,0.733461
Q,"Qnity Electronics, Inc.",NYQ,Technology,Semiconductor Equipment & Materials,155.74,155.0,-2.4421,9.9376,0.9286,0.1760,-0.2180,2.6100,50.0000,0.298872,0.145954,140,0.337593,0.260147,0.150779,0.296776,0.011138,0.500000,0.500000,0.939183
TRMB,Trimble Inc.,NMS,Technology,Scientific & Technical Instruments,57.74,55.52,1.0925,-18.9726,1.1142,0.1180,0.4830,3.2200,29.0681,0.298289,0.144901,141,0.405435,0.116851,0.201430,0.279301,0.021805,0.500000,0.500000,0.927427
POWI,"Power Integrations, Inc.",NMS,Technology,Semiconductors,84.19,84.99,-2.1473,16.9532,0.8552,0.0260,-0.6250,1.5100,283.3000,0.297846,0.144100,142,0.343251,0.294920,0.130748,0.251582,0.004945,0.500000,0.500000,0.945098
TYL,"Tyler Technologies, Inc.",NYQ,Technology,Software - Application,313.56,303.77,-0.7417,-7.1749,1.0915,0.0860,0.0020,1.4700,42.0152,0.297261,0.143045,143,0.370230,0.175327,0.195235,0.269660,0.014486,0.500000,0.500000,0.964837
QRVO,"Qorvo, Inc.",NMS,Technology,Semiconductors,102.74,104.73,-1.5880,13.1849,0.8818,-0.0700,-0.0520,1.0300,28.9309,0.296892,0.142378,144,0.353986,0.276242,0.138007,0.222657,0.013664,0.500000,0.500000,0.975520
NXPI,NXP Semiconductors N.V.,NMS,Technology,Semiconductors,323.62,321.88,-2.5433,10.7030,0.8308,0.1220,1.2900,0.8300,30.7725,0.296567,0.141791,145,0.335651,0.263941,0.124089,0.280506,0.034085,0.500000,0.500000,0.979767
VRSN,"VeriSign, Inc.",NMS,Technology,Software - Infrastructure,297.41,297.08,0.3174,8.6523,0.5848,0.0660,0.0760,3.5900,32.7903,0.294347,0.137782,146,0.390558,0.253776,0.056955,0.263634,0.015612,0.500000,0.500000,0.919012
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,33.14,32.11,-5.6143,-35.1051,2.2631,-0.0050,2.5470,2.6400,11.8487,0.293998,0.137153,147,0.276707,0.036888,0.514969,0.242242,0.053211,0.500000,0.500000,0.941507
PAYC,"Paycom Software, Inc.",NYQ,Technology,Software - Application,144.23,137.79,0.7237,4.4891,0.5532,0.0780,0.1170,1.0400,15.9479,0.293738,0.136682,148,0.398357,0.233141,0.048331,0.267249,0.016236,0.500000,0.500000,0.976315
