symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
QDEL,QuidelOrtho Corporation,NMS,Healthcare,Medical Devices,15.3,13.905,4.8229,19.2967,0.2284,-0.105,,2.06,,0.350336,0.393204,34,0.521049,0.225977,0.118655,0.031765,0.5,0.5,0.5,0.738532,True,
UNH,UnitedHealth Group Incorporated,NYQ,Healthcare,Healthcare Plans,396.47,402.17,5.8364,10.4873,0.6447,0.02,-0.002,1.31,30.2733,0.346729,0.383376,35,0.539601,0.188243,0.381819,0.036403,0.005314,0.5,0.5,0.986157,True,
MYGN,"Myriad Genetics, Inc.",NMS,Healthcare,Diagnostics & Research,4.69,4.635,8.2944,-7.8529,0.2091,-0.208,,1.24,,0.345038,0.378767,36,0.584595,0.109685,0.106454,0.027943,0.5,0.5,0.5,0.742906,True,
PRLD,Prelude Therapeutics Incorporat,NMS,Healthcare,Biotechnology,4.08,3.8101,-0.2592,-18.4133,0.23,,,,,0.344397,0.377019,37,0.428021,0.06445,0.119666,0.5,0.5,0.5,0.5,0.5,True,
PCVX,"Vaxcyte, Inc.",NMS,Healthcare,Biotechnology,48.76,48.14,-1.6765,-13.5694,0.234,,,,,0.341247,0.368433,38,0.402077,0.085199,0.122195,0.5,0.5,0.5,0.5,0.5,True,
VIR,"Vir Biotechnology, Inc.",NMS,Healthcare,Biotechnology,9.15,8.8,-2.7685,-12.2877,0.2756,,,,,0.340583,0.366623,39,0.382088,0.090689,0.148492,0.5,0.5,0.5,0.5,0.5,True,
OSCR,"Oscar Health, Inc.",NYQ,Healthcare,Healthcare Plans,23.6,23.695,3.2216,32.1628,0.6598,0.526,1.467,,,0.339961,0.364929,40,0.491737,0.281088,0.391365,0.05518,0.013522,0.5,0.5,0.5,True,
KURA,"Kura Oncology, Inc.",NMS,Healthcare,Biotechnology,8.77,8.8898,-1.8262,-4.521,0.7263,0.295,,,,0.33973,0.3643,41,0.399337,0.123957,0.433403,0.046608,0.5,0.5,0.5,0.5,True,
SENS,"Senseonics Holdings, Inc.",NMS,Healthcare,Medical Devices,7.01,6.7351,-1.5336,34.702,0.3465,0.718,,,,0.337341,0.357789,42,0.404693,0.291964,0.193312,0.062305,0.5,0.5,0.5,0.5,True,
PHAT,"Phathom Pharmaceuticals, Inc.",NMS,Healthcare,Biotechnology,9.86,10.02,8.3333,-20.524,0.235,1.044,,,,0.336212,0.354712,43,0.585307,0.05541,0.122827,0.074403,0.5,0.5,0.5,0.5,True,
TFX,Teleflex Incorporated,NYQ,Healthcare,Medical Instruments & Supplies,132.11,131.615,3.261,9.4295,0.2674,0.323,,0.16,1881.857,0.335606,0.35306,44,0.492458,0.183712,0.143309,0.047647,0.5,0.5,0.5,0.581183,True,
TLRY,"Tilray Brands, Inc.",NMS,Healthcare,Drug Manufacturers - Specialty & Generic,5.19,4.9199,-10.5647,-13.7083,1.2368,-0.078,,,,0.334604,0.35033,45,0.239379,0.084604,0.756116,0.032767,0.5,0.5,0.5,0.5,True,
SNDA,"Sonida Senior Living, Inc.",NYQ,Healthcare,Medical Care Facilities,33.17,34.235,4.5344,-8.1433,0.2775,0.385,,2.04,,0.334541,0.350159,46,0.515768,0.108441,0.149693,0.049948,0.5,0.5,0.5,0.738639,True,
MOBI,"Mobia Medical, Inc.",NMS,Healthcare,Medical Devices,13.84,12.77,-5.4074,8.6809,0.1712,,,,,0.333325,0.346843,47,0.333783,0.180506,0.082496,0.5,0.5,0.5,0.5,0.5,True,
SOLV,Solventum Corporation,NYQ,Healthcare,Medical Instruments & Supplies,82.42,80.8,6.5862,17.0843,0.3787,-0.03,-0.905,1.22,9.8941,0.329859,0.337397,48,0.553326,0.216501,0.213667,0.034548,0.000268,0.5,0.5,0.991162,True,
OMDA,"Omada Health, Inc.",NMS,Healthcare,Health Information Services,18.21,18.18,-0.9793,16.2939,0.4008,0.42,,,,0.329811,0.337267,49,0.41484,0.213115,0.227638,0.051247,0.5,0.5,0.5,0.5,True,
XERS,"Xeris Biopharma Holdings, Inc.",NMS,Healthcare,Drug Manufacturers - Specialty & Generic,6.15,6.215,2.3888,-0.2408,0.2709,0.383,,,88.7857,0.328762,0.334409,50,0.476493,0.14229,0.145521,0.049874,0.5,0.5,0.5,0.730633,True,
LKFT,Lakefront Biotherapeutics,NMS,Healthcare,Biotechnology,28.11,28.14,2.1786,-0.8806,0.333,-0.914,,,3.2683,0.327874,0.331988,51,0.472645,0.13955,0.184778,0.001744,0.5,0.5,0.5,0.749621,True,
STTK,"Shattuck Labs, Inc.",NMS,Healthcare,Biotechnology,4.8,4.66,-17.6991,-28.8991,1.0763,,,,,0.327174,0.33008,52,0.108783,0.019536,0.654656,0.5,0.5,0.5,0.5,0.5,True,
NBIX,"Neurocrine Biosciences, Inc.",NMS,Healthcare,Drug Manufacturers - Specialty & Generic,167.35,165.9,3.0435,22.8343,0.3224,0.422,24.051,0.44,25.5231,0.326773,0.328988,53,0.488477,0.24113,0.178077,0.051321,0.139707,0.5,0.5,0.991852,True,
RVMD,"Revolution Medicines, Inc.",NMS,Healthcare,Biotechnology,155.69,151.31,-7.6094,2.7274,0.2695,,,,,0.326769,0.328977,54,0.293475,0.155004,0.144636,0.5,0.5,0.5,0.5,0.5,True,
PGEN,"Precigen, Inc.",NMS,Healthcare,Biotechnology,3.86,3.635,-11.8932,-16.1663,0.4649,16.339,,,,0.325811,0.326366,55,0.21506,0.074075,0.268159,0.641977,0.5,0.5,0.5,0.5,True,
PRTA,Prothena Corporation plc,NMS,Healthcare,Biotechnology,9.25,8.66,-9.6976,-22.6095,0.3536,17.064,,,,0.324772,0.323533,56,0.255251,0.046477,0.1978,0.668881,0.5,0.5,0.5,0.5,True,
SHC,Sotera Health Company,NMS,Healthcare,Diagnostics & Research,15.57,15.701,1.094,2.4788,0.2049,0.1,,1.31,38.3171,0.324316,0.322292,57,0.452791,0.153939,0.103799,0.039372,0.5,0.5,0.5,0.984371,True,
LIVN,LivaNova PLC,NMS,Healthcare,Medical Devices,73.72,73.215,-0.8061,27.1314,0.0971,0.143,,0.84,37.3546,0.323636,0.320438,58,0.41801,0.259536,0.035653,0.040968,0.5,0.5,0.5,0.987092,True,
SRRK,Scholar Rock Holding Corporatio,NMS,Healthcare,Biotechnology,45.33,44.55,-6.0667,-5.5585,0.2171,,,,,0.323319,0.319574,59,0.321715,0.119513,0.111511,0.5,0.5,0.5,0.5,0.5,True,
PODD,Insulet Corporation,NMS,Healthcare,Medical Devices,146.41,152.62,3.0311,-8.8999,0.6822,0.339,1.573,1.26,35.7424,0.323231,0.319335,60,0.48825,0.1052,0.405525,0.048241,0.014114,0.5,0.5,0.98521,True,
NMRA,"Neumora Therapeutics, Inc.",NMS,Healthcare,Biotechnology,1.75,1.675,-7.967,-27.1739,0.4931,,,,,0.323085,0.318935,61,0.286929,0.026925,0.285985,0.5,0.5,0.5,0.5,0.5,True,
SLDB,Solid Biosciences Inc.,NMS,Healthcare,Biotechnology,7.24,6.765,-6.0501,-2.1014,0.1772,,,,,0.322286,0.316759,62,0.322018,0.134321,0.086289,0.5,0.5,0.5,0.5,0.5,True,
